Timestamp,arm_freq,arm_freq_min,core_freq,core_freq_min,gpu_freq,gpu_freq_min,over_voltage_avs,over_voltage_avs_boost,sdram_freq,arm: frequency(48),core: frequency(1),h264: frequency(28),isp: frequency(45),v3d: frequency(46),core: volt,sdram_c: volt,sdram_i: volt,sdram_p: volt,temp,throttled
2024-02-19 03:32:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 03:48:34,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 04:04:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 04:20:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 04:36:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 04:52:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 05:08:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 05:24:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 05:40:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.8,0x0
2024-02-19 05:56:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 06:12:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 06:28:34,600002000,600,320000000,,300,,31250,0x1b774,450,600002000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-19 06:44:34,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.8,0x0
2024-02-19 06:59:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.2,0x0
2024-02-19 07:14:49,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-19 07:30:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-19 07:45:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,60.7,0x0
2024-02-19 08:00:35,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,61.2,0x0
